Facility Code,Facility Name,Province,County,District,Division,Type,Owner,Location,Sub Location,Description of Location,Constituency,Nearest Town,Beds,Cots,Official Landline,Official Fax,Official Mobile,Official Email,Official Address,Official Alternate No,Town,Post Code,In Charge,Job Title of in Charge,Open 24 Hours,Open Weekends,Operational Status,ANC,ART,BEOC,BLOOD,CAES SEC,CEOC,C-IMCI,EPI,FP,GROWM,HBC,HCT,IPD,OPD,OUTREACH,PMTCT,RAD/XRAY,RHTC/RHDC,TB DIAG,TB LABS,TB TREAT,YOUTH
16362,Kiminini Health Centre,Rift Valley,Trans Nzoia,Trans Nzoia West,Kiminini,Health Centre,Ministry of Health,Kiminini,Kiminini,Off Kitale-Webuye Road,SABOTI,Kiminini Centre,0,0,,,,,P.O Box 98,,Kitale,30200,Sellah Nalwelisie,Nursing Officer in Charge,N,N,Operational,,,,,,,,,,,,,,,,,,,,,,
19681,Kiminini Medical Centre & Laboratory,Rift Valley,Trans Nzoia,Trans Nzoia West,Kiminini,Medical Clinic,Private Practice - Clinical Officer,Kiminini,Kiminini,Situated at Kiminini Township on the way to Ndalu next to Kiminini Cottage Hospital,SABOTI,Kiminini Township,0,0,,,,,P.O Box 443,,Kitale,30200,Ben Wamalwa,Clinical Officer,N,Y,Operational,,,,,,,,,,,,,,,,,,,,,,
18129,Kimugu Dispensary,Rift Valley,Kericho,Kipkelion,Chepseon,Dispensary,Company Medical Service,Cheboswa,Cheymen,Next to Kimugu Tea Factory,KIPKELION,Brooke Bond,4,0,,,,,P.O Box 57,,Kericho,20200,Linah Cherotich Mosop,Nursing Officer in Charge,N/A,Y,Operational,,,,,,,,,,,,,,,,,,,,,,
16398,Kimugul Dispensary,Rift Valley,Nakuru,Njoro,Mauche,Dispensary,Ministry of Health,Kapkenbu,Kapkembu,Mauche centre.,MOLO,Mauche,0,0,,,,,,,,,Nicholus Ruto,,N,N,Not-Operational,,,,,,,,,,,,,,,,,,,,,,
14881,Kimugul Dispensary (Baringo North),Rift Valley,Baringo,Baringo North,Kipsaraman,Dispensary,Ministry of Health,Kipsaraman,Kimugul,,BARINGO NORTH,Kabartonjo,0,0,,,,dmohbaringonorth@gmail.com,P.O Box 120,,Kabartonjo,30401,Jane J Kemei,Nursing Officer in Charge,N,N,Operational,,,,,,,,,Y,,Y,,Y,,,,,,,,,
14882,Kimugul Dispensary (Kipkelion),Rift Valley,Kericho,Kipkelion,Chepseon,Dispensary,Ministry of Health,Kimugul,Kimugul,,KIPKELION,Chepseon,4,0,,,,,,,Chepseon,20202,Kosgey Patricia,Nursing Officer in Charge,N,N,Operational,,,,,,,,,Y,,,,Y,,,,,,,,,
17999,Kimulot Dispensary,Rift Valley,Bomet,Konoin,Kimulot,Dispensary,Ministry of Health,Kimulot,Kapset,,KONOIN,Kimulot,0,0,,,,,,,,,Domonic kipngetich,Nursing Officer in Charge,N,N,Operational,,,,,,,,,,,,,,,,,,,,,,
10612,Kimunyu (PCEA) Dispensary,Central,Kiambu,Gatundu,Gatundu South,Dispensary,Christian Health Association of Kenya,Ngenda,Kimunyu,,GATUNDU SOUTH,Gatundutown,0,0,,,0721-974375,,,,,,Mr Kiama,,N,N,Operational,,,,,,,,,,,,,,,,,,,,,,
14884,Kimuren Dispensary,Rift Valley,Elgeyo Marakwet,Marakwet East,Tirap,Dispensary,Ministry of Health,Kipkaner,Kimuren,,MARAKWET EAST,Kapsowar,0,0,,,,,,,,,jacob kisang,Nursing Officer in Charge,N,N,Operational,,,,,,,,,,,,,,,,,,,,,,
17416,Kimuri Disp,Rift Valley,Uasin Gishu,Wareng,kapseret,Dispensary,Ministry of Health,Ngeria,Kimuri,,ELDORET SOUTH,Eldoret,0,0,,,,,,,,,,,N/A,N/A,Pending Opening,,,,,,,,,,,,,,,,,,,,,,
17028,Kimuri Dispensary,Rift Valley,Trans Nzoia,Trans Nzoia East,Kaplamai,Dispensary,Ministry of Health,Sinyereri,Sinyereri,,CHERANGANI,Kitale,0,0,0202394909,0202394909,0202394909,mohtranseast@yahoo.com,P.O Box 2334,,Kitale,30200,ROSE AMUKHOBOLE,Nursing Officer in Charge,N,N,Operational,,,,,,,,,,,,,,,,,,,,,,
12317,Kimutwa Dispensary,Eastern,Machakos,Machakos,Central,Dispensary,Ministry of Health,Kimutwa,Kimutwa,In Kimutwa Market,MACHAKOS TOWN,Machakos,4,0,,,,,P.O Box P.O. Box 170,,Machakos,90100,Jenniffer Masila,Nursing Officer in Charge,N,N,Operational,,,,,,,,,Y,,,,Y,,,,,,,,,
12318,Kimutwa Medical Clinic,Eastern,Machakos,Athi River,AthiRtiver,Medical Clinic,Private Practice - Nurse / Midwife,Lukenya,Mathatani,In Kyumbi Market,MACHAKOS TOWN,Kimutwa,0,0,,,,,,,Machakos,90100,,Nursing Officer in Charge,N,N,Operational,,,,,,,,,Y,,Y,,Y,,,,,,,,,
17605,Kimweli Dispensary,Eastern,Kitui,Ikutha,Ikutha,Dispensary,Ministry of Health,Kasaala,Kimweli,kasaala,KITUI SOUTH,Kasaala,0,0,,,0721686854,,,,87-Mutomo,90201,Joseph Kinyatta,Nursing Officer in Charge,N,N,Operational,,,,,,,,,,,,,,,,,,,,,,
12319,Kina Dispensary,Eastern,Meru,Igembe North,Ndoleli,Dispensary,Ministry of Health,Meru N Park,Meru N Park,,IGEMBE,Murera Gate,0,0,,,,,P.O Box P.O. Box 482,,Maua,60600,Jacob Anampiu Mururu,,N,N,Operational,,,,,,,,,Y,,Y,,Y,,,,,,,,,
11479,Kinagoni Dispensary,Coast,Kwale,Kinango,Samburu,Dispensary,Ministry of Health,Samburu,Kinangoni,,KINANGO,Samburu,0,0,,,,,,,Kinango,0,Ali Mwamzuka,,N,N,Operational,,,,,,,,,,,,,Y,,,,,,,,,
12320,Kinakoni Dispensary,Eastern,Kitui,Mutomo,Mutha,Dispensary,Ministry of Health,Voo,Kasasi,,MUTITO,Mutomo,0,0,,,,,P.O Box P.O. Box 87,,Mutomo,90201,Onesmus Kyalo,Nursing Officer in Charge,N,N,Operational,,,,,,,,,Y,,,,,,,,,,,,,
10613,Kinale Forest Dispensary,Central,Kiambu,Lari,Lari,Dispensary,Ministry of Health,Lari,Kinale,Nairobi - Nakuru Highway Near Kinale Primary/Secondary School,LARI,Kinale Shopping Centre,4,0,,,0711196397,,P.O Box  56 ,,Matathia,00221,Alice W Murionga,Nursing Officer in Charge,N,N,Operational,,Y,,,,,,,Y,,Y,,Y,,,,,,,,,
19790,Kinamba Medical Clinic,Central,Nyandarua,Kinangop,Njabini,Medical Clinic,Private Practice - Nurse / Midwife,Njabini,Kiandege,"Nbi-Nku , branch at Fly over to the right up to kinamba market",KINANGOP,Kinamba town,0,0,,,0726595640,,P.O Box 48,,S Kinangop,,Jane Gathirimu,Nursing Officer in Charge,N,Y,Operational,,,,,,,,,,,,,,,,,,,,,,
11480,Kinango Hospital,Coast,Kwale,Kinango,Kinango,District Hospital,Ministry of Health,Kinango,Kinango,200 metres from Kinango Town Market,KINANGO,Kinango,94,15,,,0723-947717,,P.O Box 84,,Kinango,80405,Dr.Mwanahamisi Suleiman Bwika,Medical Superintendant,Y,Y,Operational,,Y,,,,,Y,,Y,,Y,,Y,,,,,,,,,
16518,Kinango Medical Clinic,Coast,Kwale,Kinango,Kinango,Medical Clinic,Private Enterprise (Institution),Kinango,Kinango,,KINANGO,Kinango,0,0,,,,,,,Kinango,0,George,,N,N,Operational,,,,,,,,,,,,,,,,,,,,,,
12321,Kinanie Dispensary,Eastern,Machakos,Athi River,Athi River,Dispensary,Ministry of Health,Lukenya,Kinanie,,KATHIANI,Athi River,1,0,,,,,,,Machakos,90100,Penina Nzisa,,N,N,Operational,,,,,,,,,Y,,,,Y,,,,,,,,,
11481,Kinarani Dispensary,Coast,Kilifi,Kaloleni,Mariakani,Dispensary,Ministry of Health,Mwanamwinga,Kinarani,Next to  Mwanamwinga Chief's office,KALOLENI,Kinarani,0,0,,,,,P.O Box 49,,Kaloleni,80105,Rachel Masha,Nursing Officer in Charge,N,N,Operational,,,,,,,,,Y,,Y,,Y,,,,,,,,,
13694,Kinasia Dispensary,Nyanza,Kisumu,Nyando,Nyando,Dispensary,Ministry of Health,East Kano,Katolo,"Ahero -Katito market- Awasi route, Turn to right at Katolo Chief ofice about 3KM from Katito market",NYANDO,Katito,0,0,,,0725442122,,P.O Box 15,,AHERO,40101,Merjorie Adoyo Ogutu,Nursing Officer in Charge,N,N,Operational,,Y,,,,,,,Y,,,,Y,,,,,,,,,
13695,Kineni Dispensary,Nyanza,Nyamira,Borabu,Nyansiongo,Dispensary,Ministry of Health,Nyansiongo,Isoge/Kineni,Near Kineni Secondary,NORTH MUGIRANGO,Manga,1,0,,,,,P.O Box 1,,Nyansiongo,00502,Justine Ogamba,Nursing Officer in Charge,N,N,Operational,,,,,,,,,Y,,Y,,Y,,,,,,,,,
19623,Kinga Medical Clinic (Dandora),Nairobi,Nairobi,Njiru,Dandora,Medical Clinic,Private Practice - General Practitioner,Dandora,Dandora phase 1,Dandora phase 1 near Dandora 1 health centre and karia supermarket,EMBAKASI,Dandora ,0,0,,,,,,,,,Eric Gichuru,Nursing Officer in Charge,N,Y,Operational,,,,,,,,,,,,,,,,,,,,,,
20003,Kingorani Community Clinic,Coast,Mombasa,Mvita,Island,Medical Clinic,Private Practice - General Practitioner,Majengo,Majengo,"Along Majengo Road, at Kingorani round about",MVITA,Majengo ,0,0,,,,,P.O Box 81999,,Mombasa,80100,Ldilian Moses,Clinical Officer,Y,Y,Operational,,,,,,,,,,,,,,,,,,,,,,
11303,King'orani Prison Dispensary,Coast,Mombasa,Mvita,Island,Dispensary,Ministry of Health,Majengo,King'Orani,In Kingorani Prison,MVITA,Mombasa,0,0,,,,,,,,,Violet Mbeyu Nzaro,Nursing Officer in Charge,N,N,Operational,,,,,,,,,,,,,,,,,,,,,,
16655,Kiomo Dispensary,Eastern,Kitui,Mwingi Central,Central,Dispensary,Ministry of Health,Kiomo,Kiomo,,MWINGI SOUTH,Kiomo,0,0,044-822551,044-822394,,dmohmwingi@yahoo.com,P.O Box P.O. Box 16,,Mwingi,90400,Esther Kithuku,Nursing Officer in Charge,N,N,Operational,,,,,,,,,,,,,,,,,,,,,,
18678,Kiongwe Dispensary,Eastern,Kitui,Nzambani,Chuluni,Dispensary,Ministry of Health,Kiongwe,Kiongwe,"Kiongwe Primary school",MUTITO,Kiongwe,0,0,,,,,P.O Box 22,,Kitui,90200,N/A,Nursing Officer in Charge,N,N,Pending Opening,,,,,,,,,,,,,,,,,,,,,,
12328,Kionyo Dispensary (Imenti South),Eastern,Meru,Imenti South,Abogeta,Dispensary,Ministry of Health,Kiungone,Upper Kiungone,Along Chuka-Meru road near Kionyo market,SOUTH IMENTI,Kionyo Mkt,0,0,,,,,P.O Box  76,,Kanyakine,60206,Jacob Kinyua,Nursing Officer in Charge,N,N,Operational,,,,,,,,,Y,,,,Y,,,,,,,,,
13697,Kionyo Health Centre (Nyamache),Nyanza,Kisii,Nyamache,Nyamache,Health Centre,Ministry of Health,Bassi Masige East,Turwa,,BOBASI,Kionyo,0,0,,,0704333883,dmohnyamache@gmail.com,P.O Box 21,0722566054,Nyamache,40203,Peter Ngoro,Nursing Officer in Charge,Y,Y,Operational,,,,,,,,,Y,,Y,,Y,,,,,,,,,
12329,Kionyo Medical Clinic,Eastern,Meru,Imenti South,Abogeta,Medical Clinic,Private Enterprise (Institution),Abogeta,Upper Kiungone,,SOUTH IMENTI,Kionyo Mkt,0,0,,,,,,,,,Phineas Njeru,,N,N,Not-Operational,,,,,,,,,,,,,,,,,,,,,,
11483,Kipao Dispensary,Coast,Tana River,Tana Delta,Tarasaa,Dispensary,Ministry of Health,Kipao,Kipao,Near Kipao Primary School,GARSEN,Tarasaa,3,0,,,,,,,Tarasaa,80203,Julia Mghalu,Nursing Officer in Charge,N,N,Operational,,,,,,,,,Y,,Y,,Y,,,,,,,,,
20095,Kipawa Medical Centre,Nairobi,Nairobi,Njiru,Ruai,Medical Clinic,Private Practice - Nurse / Midwife,Ruai,Ruai,along kangundo road at kipawa shopping centre,EMBAKASI,Ruai,0,0,,,0724328222,,,,,,,Nursing Officer in Charge,N,Y,Operational,,,,,,,,,,,,,,,,,,,,,,
14889,Kipcherere Dispensary,Rift Valley,Baringo,Baringo North,Kabartonjo,Dispensary,Ministry of Health,Saimo,Kipcherere,,BARINGO NORTH,Kabartonjo,0,0,,,,dmohbaringonorth@gmail.com, P.O. Box 120,,Kabartonjo,30400,Peter Yegon,,N,N,Operational,,,,,,,,,Y,,Y,,Y,,,,,,,,,
14890,Kipchimchim M Hospital,Rift Valley,Kericho,Kericho,Ainamoi,Other Hospital,Other Faith Based,Ainamoi,Kipchimchim,,AINAMOI,Kericho,12,0,,,,,,,Kericho,20200,Kiprono  Langat,Nursing Officer in Charge,N,N,Operational,,,,,,,Y,,Y,,,,Y,,,,,,,,,
19251,Kipegenda Dispensary,Rift Valley,Nandi,Nandi South,Aldai,Dispensary,Ministry of Health,Kapsaos,Kabuson,"Along kapsabet-Kobujoi road,8km South of kaptumo market",ALDAI,Kaptumo market,0,0,,,,dmoh.nandisouth@yahoo.com,P.O Box 23,,Kapcheno,30304,,Doctor In Charge,N,N,Not-Operational,,,,,,,,,,,,,,,,,,,,,,
14891,Kipeto Dispensary,Rift Valley,Kajiado,Kajiado North,Ngong,Dispensary,Ministry of Health,South Keekonyoike,Kipeto,,KAJIADO CENTRAL,Kiserian,0,0,,,0722-289871,,P.O Box 278,,Kiserian,00206,Sammy Thumbi,Nursing Officer in Charge,N,N,Operational,,,,,,,Y,,,,,,,,,,,,,,,
16269,Kipingi Dispensary,Nyanza,Migori,Nyatike,Karungu,Dispensary,Ministry of Health,S.E Karungu,Okayo,,NYATIKE,Sori,0,0,,,,, P.O. Box 202,,Suna Migori,40400,,,N,N,Not-Operational,,,,,,,,,,,,,,,,,,,,,,
11484,Kipini Health Centre,Coast,Tana River,Tana Delta,Kipini ,Health Centre,Ministry of Health,Kipini ,Kipini,Near Indian Ocean,GARSEN,Kipini,12,0,,,,,P.O Box  77,,Kipini Witu,,Buya said shevo,Clinical Officer,Y,N,Operational,,Y,,,,,,,Y,,Y,,Y,,,,,,,,,
19792,Kipipiri Medical Centre,Central,Nyandarua,Kipipiri,Kipipiri,Medical Clinic,Private Practice - Nurse / Midwife,Githioro,Kipipiri,At Miharate Town,KIPIPIRI,Miharate Towm,0,0,072788273,,0727868273,,P.O Box 128,,,Miharate,Rose Wangari,Nursing Officer in Charge,N,Y,Operational,,,,,,,,,,,,,,,,,,,,,,
14892,Kipkabus Forest Dispensary,Rift Valley,Elgeyo Marakwet,Keiyo South,Metkei,Dispensary,Ministry of Health,Kabiemit,Kipkabus,,KEIYO SOUTH,Eldoret,0,0,,,0726-244088,,P.O Box 332 Iten,,Eldoret,,Luke Kipsang,Nursing Officer in Charge,N,N,Operational,,,,,,,,,,,,,,,,,,,,,,
14893,Kipkabus Health Centre,Rift Valley,Uasin Gishu,Eldoret East,Ainapkoi,Health Centre,Ministry of Health,Kipkabus,Kipkabus,Immediately after Kipkabus centre,ELDORET EAST,Eldoret,0,0,,,,,P.O Box 2,,Kipkabus,,Francis Ronoh,Clinical Officer,N,N,Operational,,,,,,,,,Y,,Y,,Y,,,,,,,,,
15951,Kipkaren Clinic,Western,Kakamega,Lugari,Lugari,Medical Clinic,Private Enterprise (Institution),Lumakanda,Munyuki,,LUGARI,Kipkaren,0,0,,,,,,,Kipkaren,,Coroly kombo,,N,N,Operational,,,,,,,,,Y,,,,,,,,,,,,,
13698,Kipkebe Health Centre,Nyanza,Nyamira,Borabu,Kiangeni,Health Centre,Company Medical Service,Kiangeni,Kitaru,On cheplat Ikonge rough road,NORTH MUGIRANGO,Cheplat,6,0,,,,,P.O Box 1,,Nyansiongo,00502,David Koech,Clinical Officer,N,N,Operational,,,,,,,,,Y,,Y,,Y,,,,,,,,,
14894,Kipkeibon Tea Dispensary,Rift Valley,Nandi,Nandi East,Nandi Hills ,Dispensary,Company Medical Service,Tartar,Tartar,,TINDERET,Nandi Hills,0,0,,,,,P.O Box P.O. Box 22,,Nandi Hills,30301,Mary Muteizi,,N,N,Operational,,,,,,,Y,,Y,,Y,,Y,,,,,,,,,
14895,Kipkeikei Dispensary,Rift Valley,Trans Nzoia,Trans Nzoia East,Cherangany,Dispensary,Ministry of Health,Cherangany,Kachibora,ALONG CHERANGANY ROAD,CHERANGANI,Kitale,0,0,,020-2394909,,mohtranseast@yahoo.com,Please specify P.O. Box 2334,,Kitale,30200,Lucy Nyaranda,Nursing Officer in Charge,N,N,Operational,,,,,,,,,Y,,,,Y,,,,,,,,,
14896,Kipkelion (CHFC) Dispensary,Rift Valley,Kericho,Kipkelion,Kipkelion,Dispensary,Private Enterprise (Institution),Kipchorian,Kipkelion,Next to Tuzo Dairy,KIPKELION,Kipkelion,0,0,,,,,,,Kipkelion,20202,Jerusa Osinyo,Nursing Officer in Charge,N,N,Operational,,,,,,,,,Y,,,,Y,,,,,,,,,
14897,Kipkelion Sub District Hospital,Rift Valley,Kericho,Kipkelion,Kipkelion,Sub-District Hospital,Ministry of Health,Kipchorian,Township,Next to Taita Towett Secondary School,KIPKELION,Kipkelion,6,0,,,,,P.O Box 70,,Kipkelion,20202,Weldon Mitei,Clinical Officer,Y,Y,Operational,,Y,,,,,Y,,Y,,,,Y,,,,,,,,,
14898,Kipkenyo Dispensary,Rift Valley,Uasin Gishu,Wareng,kapseret,Dispensary,Local Authority,Kipkenyo,Kosyin,,ELDORET SOUTH,Eldoret,0,0,,,0734-541380,,P.O Box  40,,Eldoret,30100,Paul Kibiwot,Nursing Officer in Charge,N,N,Operational,,,,,,,,,Y,,,,Y,,,,,,,,,
14899,Kipketer Dispensary,Rift Valley,Kericho,Belgut,Belgut,Dispensary,Private Enterprise (Institution),Chaik,Chemogondany,,BELGUT,Kericho,0,0,,,,,,,Kericho,20200,Vivian ,Nursing Officer in Charge,N,N,Operational,,,,,,,,,Y,,,,Y,,,,,,,,,
17091,Kipkitur Dispensary,Rift Valley,Baringo,Mogotio,Mogotio,Dispensary,Ministry of Health,Kapkechui,,,MOGOTIO,Mogotio town,0,0,,,,,P.O Box c/o 102,,Eldama Ravine,20103,JOSEPH CHERUIYOT,Nursing Officer in Charge,N,N,Operational,,,,,,,,,,,,,,,,,,,,,,
14918,Kipsingei Dispensary,Rift Valley,Bomet,Sotik,Ndanai,Dispensary,Ministry of Health,Kipsingei,Kipsingei,4 Kms From Ndanai Market,SOTIK (PART),Ndanai,0,0,,,,sotikmoh09@yahoo.com,P.O Box 297,,Sotik,20406,Esther-Liza,Nursing Officer in Charge,N,N,Operational,,,,,,,,,Y,,,,Y,,,,,,,,,
19591,Kipsitet Baptist Dispensary,Rift Valley,Kericho,Kericho,Ainamoi,Dispensary,Other Faith Based,KIPSITET,kipsitet,,AINAMOI,kipsitet,0,0,,,,,,,kipsitet,20200,,Nursing Officer in Charge,N,N,Operational,,,,,,,,,,,,,,,,,,,,,,
14919,Kipsitet Dispensary,Rift Valley,Kericho,Kericho,Soin,Dispensary,Ministry of Health,Soin,Kipsitet,,AINAMOI,Kericho,4,0,,,,,,,Kericho,20200,David Bett,Nursing Officer in Charge,Y,Y,Operational,,,,,,,,,Y,,Y,,Y,,,,,,,,,
17283,Kipsoen Dispensary,Rift Valley,Elgeyo Marakwet,Keiyo,Kamariny,Dispensary,Ministry of Health,Mutei,Katalel,,KEIYO NORTH,,0,0,,,,,,,,,,Nursing Officer in Charge,N,N,Operational,,,,,,,,,,,,,,,,,,,,,,
17099,Kipsogon Dispensary,Rift Valley,Baringo,Mogotio,Mogotio,Dispensary,Ministry of Health,Lembus Mogotio,,,MOGOTIO,Mogotio,0,0,,,,,P.O Box c/o 102,,Eldama Ravine,20103,Christine Cherono,,N,N,Operational,,,,,,,,,,,,,,,,,,,,,,
14920,Kipsonoi Health Centre,Rift Valley,Bomet,Sotik,Kapletundo,Health Centre,Ministry of Health,Kamungei,Kamungei,10 Kms From Daraja Sita Junction Along Kapkatet - Sotik Road,SOTIK (PART),Sotik,16,0,,,,sotikmoh09@yahoo.com,Please specify P.O. Box 297,,Sotik,20227,Josephine Ngetich,Nursing Officer in Charge,N,Y,Operational,,,,,,,,,Y,,Y,,Y,,,,,,,,,
17637,Kipsugur Dispensary,Rift Valley,Nandi,Nandi Central,Kapsabet,Dispensary,Ministry of Health,Kapkangani,Kiborgok,,EMGWEN,Kapsabet,0,0,,,,,P.O Box 5,,KAPSABET,030300,,,N,N,Pending Opening,,,,,,,,,,,,,,,,,,,,,,
14921,Kipsuter Dispensary,Rift Valley,Bomet,Chepalungu,Siongiroi,Dispensary,Ministry of Health,Kipsuter,Kisuter,Kipsuter Dispensary is near Kipsuter Secondary School.,CHEPALUNGU,Siongiroi Market,0,0,,,,,P.O Box  393,,Bomet,20400,Patrick Kandie,Nursing Officer in Charge,N,N,Operational,,,,,,,,,,,,,,,,,,,,,,
14922,Kipsyenan Dispensary,Rift Valley,Nakuru,Rongai,Rongai,Dispensary,Ministry of Health,Makongeni,Kampi Ya Moto,,RONGAI,Rongai,0,0,,,,,P.O Box  1214,,Nakuru,20100,Miriam Kipyekomen,Nursing Officer in Charge,N,N,Operational,,,,,,,,,Y,,Y,,Y,,,,,,,,,
14924,Kiptagich Dispensary,Rift Valley,Nakuru,Kuresoi,Olenguruone,Health Centre,Ministry of Health,Kiptagich,Kiptagich,Kiptagich Centre.,KURESOI,Kiptagich,0,0,,,,,P.O Box 64,,Olenguruone,20106,Cynthia Chepchieng,Nursing Officer in Charge,Y,Y,Operational,,,,,,,,,Y,,Y,,Y,,,,,,,,,
14923,Kiptagich Health Centre,Rift Valley,Baringo,Baringo Central,Sacho,Health Centre,Ministry of Health,Sacho Mosop,Kaptich,,BARINGO CENTRAL,Kabarnet,12,1,,,,,P.O Box  21,,Kabarnet,30400,Truphena Kibet,Clinical Officer,Y,Y,Operational,,,,,,,Y,,Y,,Y,,Y,,,,,,,,,
14925,Kiptagich Tegat Dispensary,Rift Valley,Nakuru,Kuresoi,Olenguruone,Dispensary,Company Medical Service,Kiptagich,Kiptagich, kiptagich tea factory.,KURESOI,Kiptagich,0,0,,,,,,,Olenguruone,20106,,Nursing Officer in Charge,N,N,Operational,,,,,,,,,Y,,Y,,Y,,,,,,,,,
14926,Kiptangwanyi Dispensary,Rift Valley,Nakuru,Gilgil,Elementaita,Dispensary,Ministry of Health,Kiambogo,Kiptangwanyi,near Kiptangwanyi shopping centre,NAIVASHA,Nakuru,1,0,,,,mohnaiva@yahoo.com,P.O Box P.O. Box 2062,,Naivasha,20117,Flodina Ntambo,Nursing Officer in Charge,N,N,Operational,,,,,,,,,Y,,Y,,Y,,,,,,,,,
13699,Kiptenden Dispensary,Nyanza,Nyamira,Borabu,Kiangeni,Dispensary,Private Enterprise (Institution),Kiangeni,Kitaru,Near Mokomoni,NORTH MUGIRANGO,Cheplat,2,0,,,,,P.O Box 1 ,,Nyansiongo,00502,James Obosso,Nursing Officer in Charge,N,N,Operational,,,,,,,,,Y,,Y,,Y,,,,,,,,,
14927,Kiptenden Dispensary (Buret),Rift Valley,Bomet,Konoin,Cheptalal,Dispensary,Ministry of Health,Kiptenden,Kiptenden,,KONOIN,Kiptenden,0,0,,,,,P.O Box 50,,Mogogosiek,,Agness kiplangat,Nursing Officer in Charge,N,N,Operational,,,,,,,,,Y,,,,Y,,,,,,,,,
19282,Kiptenden Dspensary (Nandi Central),Rift Valley,Nandi,Nandi Central,Kilibwoni,Dispensary,Ministry of Health,Tulon,Tulon,,MOSOP,Chepterit,0,0,,,,,"P.O Box 5, Kapsabet",,Kapsabet,0300,Elizabeth Lelmengit,Nursing Officer in Charge,N,N,Operational,,,,,,,,,,,,,,,,,,,,,,
14928,Kiptere Dispensary,Rift Valley,Kericho,Belgut,Sigowet,Dispensary,Ministry of Health,Kiptere,Kiptere,,BELGUT,Sosiot,3,0,05231145,,,,,,Kericho,202000,Andrew Siele,Nursing Officer in Charge,N,Y,Operational,,,,,,,,,Y,,,,Y,,,,,,,,,
14929,Kiptewit Dispensary,Rift Valley,Kericho,Bureti,Cheborgei,Dispensary,Ministry of Health,Cheborgei,Kimwogit,,BURET,Kiptewit,0,0,,,,,P.O Box P.O. Box 12,,Litein,,Grace Chepkwony,Nursing Officer in Charge,N,N,Operational,,,,,,,,,Y,,,,Y,,,,,,,,,
20011,Kiptoim Dispensary,Rift Valley,Baringo,Mogotio,Mogotio,Dispensary,Ministry of Health,Lembus Kiptoim,Kiptoim,Near Kiptoim Secondary school,MOGOTIO,Esageri Centre,0,0,,,,,P.O Box 11,,EldamaRavine,20103,,,N/A,N/A,Not-Operational,,,,,,,,,,,,,,,,,,,,,,
14930,Kiptome Dispensary,Rift Valley,Kericho,Bureti,Roret,Dispensary,Ministry of Health,kapkisiara,Kiptome,,BURET,Roret,7,0,,,,,P.O Box P.O. Box 22,,",Roret",,Mr Patrick Kitur,Nursing Officer in Charge,N,N,Operational,,,,,,,,,Y,,,,Y,,,,,,,,,
18742,Kiptome Dispensary (Belgut),Rift Valley,Kericho,Kericho,Kabianga,Dispensary,Ministry of Health,Kabianga,Kiptome,,BELGUT,Kericho,4,0,,,,,,,,,Kemei Edward,Nursing Officer in Charge,N,Y,Operational,,,,,,,,,,,,,,,,,,,,,,
16404,Kiptororo Dispensary,Rift Valley,Nakuru,Kuresoi,Kuresoi,Dispensary,Ministry of Health,Kiptororo,Chemare,kiptororo centre,KURESOI,Kuresoi,0,0,,,,,,,,,,,N,N,Operational,,,,,,,,,,,,,,,,,,,,,,
14931,Kiptulos Dispensary,Rift Valley,Elgeyo Marakwet,Keiyo South,Chepkorio,Dispensary,Other Public Institution,Marichor,Kiptulos,,KEIYO SOUTH,Eldoret,0,0,,,,,,,Eldoret,,,,N,N,Operational,,,,,,,,,,,,,,,,,,,,,,
14932,Kiptulwa Dispensary,Rift Valley,Bomet,Sotik,Mutarakwa,Dispensary,Ministry of Health,Kiptulwa,Kiptulwa,100 Metres Off Kaplong- Bomet Road,SOTIK (PART),Sotik,4,0,,,,sotikmoh09@yahoo.com,P.O Box 297,,Sotik,20227,Veronica Kirui,Nursing Officer in Charge,N,N,Operational,,,,,,,,,,,,,,,,,,,,,,
14933,Kiptuno Dispensary,Rift Valley,Baringo,Koibatek,Eldama Ravine,Dispensary,Ministry of Health,Kiptuno,Tulwob Lembus,Near Kiptuno Primary School,ELDAMA RAVINE,Eldama Ravine,8,0,,,,,P.O Box 191,,Eldama Ravine,20103,Leah Chumo,,N,N,Operational,,,,,,,,,Y,,Y,,Y,,,,,,,,,
14934,Kipture Dispensary,Rift Valley,Nandi,Nandi Central,Kilibwoni,Dispensary,Ministry of Health,Kipture,Kipture,,ALDAI,Kapsabet,0,0,,,,,P.O Box 5,,Kapsabet,30300,Marcella Sawe,Nursing Officer in Charge,Y,N,Operational,,,,,,,,,,,,,Y,,,,,,,,,
11485,Kipungani Dispensary,Coast,Lamu,Lamu West,Amu,Dispensary,Ministry of Health,Matondoni,Kipungani,,LAMU WEST,Kipungani,0,0,,,,,P.O Box 45,,Lamu,80500,Azhar Twalib Nurein,Nursing Officer in Charge,N,N,Not-Operational,,,,,,,,,,,,,,,,,,,,,,
16842,Kirimara Medical Clinic,Eastern,Meru,Meru Central,Abothuguchi West,Medical Clinic,Private Enterprise (Institution),Marathi,Gakurueni,,CENTRAL IMENTI,Githongo Market,0,0,,,,,P.O Box 1024,,Githongo,,Beatrice Karuki Ngeera,Nursing Officer in Charge,N,N,Operational,,,,,,,,,,,,,,,,,,,,,,
