Code,Officialname,Province,County,Sub county,Ward,Facility type,Owner type,,,,Constituency,,,,,,,,,,,,,,Open_whole_day,Open_weekends,Operation status,ANC,ART,BEOC,BLOOD,CAES SEC,CEOC,C-IMCI,EPI,FP,GROWM,HBC,HCT,IPD,OPD,OUTREACH,PMTCT,RAD/XRAY,RHTC/RHDC,TB DIAG,TB LABS,TB TREAT,YOUTH
10333,Ichamara Dispensary,Nyeri,Nyeri,Mukurweini,Mukurwe-ini Central,Dispensary,Ministry of Health,,,,Mukurweini,,,,,,,,,,,,,,No,No,Operational,,Y,,,,,Y,,Y,,Y,,Y,,,,,,,,,
10334,Ichamara Medical Clinic,Nyeri,Nyeri,Mukurweini,Mukurwe-ini Central,Medical Clinic,Private Practice,,,,Mukurweini,,,,,,,,,,,,,,No,No,Operational,,,,,,,,,Y,,Y,,Y,,,,,,,,,
10335,Ichichi Dispensary,Muranga,Muranga,Kangema,Kanyenya-ini,Dispensary,Ministry of Health,,,,Kangema,,,,,,,,,,,,,,No,No,Operational,,,,,,,,,,,,,,,,,,,,,,
25498,Ichinga Dispensary,Kakamega,Kakamega,Mumias West,Mumias North,Dispensary,Ministry of Health,,,,Mumias West,,,,,,,,,,,,,,No,No,Operational,,,,,,,,,,,,,,,,,,,,,,
12067,Ichomba Clinic,Meru,Meru,Imenti South,Abogeta West,Medical Clinic,Private Practice,,,,South Imenti,,,,,,,,,,,,,,No,No,Operational,,,,,,,,,Y,,Y,,Y,,,,,,,,,
18023,Ichuga Medical Clinic,Nyeri,Nyeri,Kieni East,Gakawa,Medical Clinic,Private Practice,,,,Kieni,,,,,,,,,,,,,,No,No,Operational,,,,,,,,,,,,,Y,,,,,,,,,
23681,Ichuky Medical Centre,Trans Nzoia,Trans Nzoia,Saboti,Matisi,Medical Center,Private Practice,,,,Saboti,,,,,,,,,,,,,,No,Yes,Operational,,,,,,,,,,,,,,,,,,,,,,
23005,Ico Care Health Clinic,Kakamega,Kakamega,Shinyalu,Isukha South,Medical Clinic,Private Practice,,,,Shinyalu,,,,,,,,,,,,,,No,No,Operational,,,,,,,,,Y,,Y,,Y,,,,,,,,,
22479,ICRH Drop In Centre (Kilifi),Kilifi,Kilifi,Kilifi North,Sokoni,Basic Health Centre,Non-Governmental Organizations,,,,Kilifi North,,,,,,,,,,,,,,No,No,Operational,,,,,,,,,,,,,,,,,,,,,,
14556,Icross Dispensary,Kajiado,Kajiado,Kajiado West,Keekonyokie,Dispensary,Ministry of Health,,,,Kajiado West,,,,,,,,,,,,,,No,No,Operational,,,,,,,,,Y,,Y,,Y,,,,,,,,,
16577,Ideal Health Laboratory,Meru,Meru,Imenti North,Municipality,Medical Clinic,Private Practice,,,,North Imenti,,,,,,,,,,,,,,No,No,Operational,,Y,,,,,,,Y,,Y,,Y,,,,,,,,,
23046,Ideal Hope Medical Clinic,Kiambu,Kiambu,Kiambu Town,Ndumberi,Medical Clinic,Private Practice,,,,Kiambu,,,,,,,,,,,,,,No,Yes,Operational,,,,,,,,,Y,,,,,,,,,,,,,
16578,Ideal Medical /FP Clinic,Meru,Meru,Imenti North,Municipality,Medical Clinic,Private Practice,,,,North Imenti,,,,,,,,,,,,,,No,No,Operational,,,,,,,,,,,,,,,,,,,,,,
20211,Ideal Medical Clinic,Kiambu,Kiambu,Kikuyu,Kinoo,Medical Clinic,Private Practice,,,,Kikuyu,,,,,,,,,,,,,,No,No,Operational,,,,,,,,,,,,,,,,,,,,,,
12068,Ideal Medical Clinic (Kangundo),Machakos,Machakos,Matungulu,Tala,Medical Clinic,Private Practice,,,,Matungulu,,,,,,,,,,,,,,No,No,Operational,,,,,,,,,,,,,,,,,,,,,,
12980,IDF Mathare Dispensary,Nairobi,Nairobi,Kamukunji,California,Medical Clinic,Private Practice,,,,Kamukunji,,,,,,,,,,,,,,No,No,Operational,,,,,,,,,,,,,,,,,,,,,,
11418,Idsowe Dispensary,Tana River,Tana River,Garsen,Garsen South,Dispensary,Ministry of Health,,,,Garsen,,,,,,,,,,,,,,No,No,Operational,,,,,,,,,Y,,Y,,,,,,,,,,,
15896,Iduku Dispensary,Vihiga,Vihiga,Vihiga,Lugaga-wamuluma,Dispensary,Ministry of Health,,,,Vihiga,,,,,,,,,,,,,,No,No,Operational,,,,,,,,,,,,,,,,,,,,,,
13367,Ifmaho Medical Clinic and Laboratory,Garissa,Garissa,Garissa,Waberi,Medical Clinic,Private Practice,,,,Garissa Township,,,,,,,,,,,,,,No,No,Operational,,,,,,,,,,,,,,,,,,,,,,
18799,Ifo 2 Hospital,Garissa,Garissa,Dadaab,Dadaab,Primary care hospitals,Ministry of Health,,,,Daadab,,,,,,,,,,,,,,Yes,Yes,Operational,,,,,,,,,Y,,,,Y,,,,,,,,,
19009,Iftin Medical Clinic,Garissa,Garissa,Garissa,Iftin,Medical Clinic,Private Practice,,,,Garissa Township,,,,,,,,,,,,,,No,Yes,Operational,,,,,,,,,,,,,,,,,,,,,,
25339,Iftin Medical Clinic and Lab,Mandera,Mandera,Mandera East,Neboi,Medical Center,Private Practice,,,,Mandera East,,,,,,,,,,,,,,Yes,Yes,Operational,,,,,,,,,,,,,,,,,,,,,,
13263,Iftin Medical Clinic And Lab Services,Garissa,Garissa,Garissa,Iftin,Medical Clinic,Private Practice,,,,Garissa Township,,,,,,,,,,,,,,No,No,Operational,,,,,,,,,,,,,,,,,,,,,,
24326,Iftin Nursing Home,Garissa,Garissa,Garissa,Iftin,Medical Center,Private Practice,,,,Garissa Township,,,,,,,,,,,,,,Yes,Yes,Operational,,,,,,,,,,,,,,,,,,,,,,
13369,Iftin Sub-District Hospital,Garissa,Garissa,Garissa,Iftin,Primary care hospitals,Ministry of Health,,,,Garissa Township,,,,,,,,,,,,,,Yes,Yes,Operational,,,,,,,,,,,,,,,,,,,,,,
12069,Igamatundu Dispensary,Tharaka Nithi,Tharaka Nithi,Igambangombe,Igambang'ombe,Dispensary,Ministry of Health,,,,Chuka/Igambang'ombe,,,,,,,,,,,,,,No,No,Operational,,,,,,,,,,,,,,,,,,,,,,
10337,Igana Dispensary,Nyeri,Nyeri,Mukurweini,Rugi,Dispensary,Ministry of Health,,,,Mukurweini,,,,,,,,,,,,,,No,No,Operational,,,,,,,,,,,,,,,,,,,,,,
12070,Igandene Dispensary,Meru,Meru,Imenti South,Abogeta West,Dispensary,Faith Based Organization,,,,South Imenti,,,,,,,,,,,,,,No,No,Operational,,,,,,,,,,,,,,,,,,,,,,
19489,Igane Health Centre,Meru,Meru,Imenti Central,Kiagu,Basic Health Centre,Ministry of Health,,,,Central Imenti,,,,,,,,,,,,,,No,No,Operational,,,,,,,,,,,,,,,,,,,,,,
15897,Igara Dispensary,Busia,Busia,Nambale,Bukhayo North/Walatsi,Dispensary,Ministry of Health,,,,Nambale,,,,,,,,,,,,,,No,No,Operational,,,,,,,,,,,,,,,,,,,,,,
13613,Igare Medical Clinic,Kisii,Kisii,Bobasi,Bobasi/Boitangare,Medical Clinic,Private Practice,,,,Bobasi,,,,,,,,,,,,,,No,No,Operational,,,,,,,,,,,,,,,,,,,,,,
18864,Igarii Dispensary,Meru,Meru,Tigania East,Thangatha,Dispensary,Ministry of Health,,,,Tigania East,,,,,,,,,,,,,,No,No,Operational,,,,,,,,,,,,,,,,,,,,,,
10338,Igegania Sub-District Hospital,Kiambu,Kiambu,Gatundu North,Mang'u,Primary care hospitals,Ministry of Health,,,,Gatundu North,,,,,,,,,,,,,,Yes,Yes,Operational,,,,,,,,,,,,,,,,,,,,,,
13614,Igena-Itambe Dispensary,Nyamira,Nyamira,Nyamira,Bosamaro,Dispensary,Ministry of Health,,,,West Mugirango,,,,,,,,,,,,,,No,No,Operational,,,,,,,,,Y,,,,,,,,,,,,,
12071,Igoki Dispensary,Meru,Meru,Imenti North,Ntima East,Dispensary,Ministry of Health,,,,North Imenti,,,,,,,,,,,,,,No,No,Operational,,,,,,,,,,,,,,,,,,,,,,
18340,Igorera Medical Clinic,Kisii,Kisii,Bomachoge Borabu,Bombaba Borabu,Medical Clinic,Private Practice,,,,Bomachoge Borabu,,,,,,,,,,,,,,No,Yes,Operational,,,,,,,,,,,,,,,,,,,,,,
15899,Iguhu Sub County Hospital,Kakamega,Kakamega,Ikolomani,Idakho East,Primary care hospitals,Ministry of Health,,,,Ikolomani,,,,,,,,,,,,,,Yes,No,Operational,,,,,,,,,,,,,,,,,,,,,,
14557,Igure Dispensary,Baringo,Baringo,Koibatek,Mumberes/Maji Mazuri,Dispensary,Ministry of Health,,,,Eldama Ravine,,,,,,,,,,,,,,No,No,Operational,,,,,,,,,,,,,,,,,,,,,,
14558,Igwamiti Dispensary,Nakuru,Nakuru,Subukia,Waseges,Dispensary,Ministry of Health,,,,Subukia,,,,,,,,,,,,,,No,No,Operational,,,,,,,,,Y,,,,,,,,,,,,,
19800,Igwamiti Medical Clinic,Nyandarua,Nyandarua,Oljoroorok,Gathanji,Medical Clinic,Private Practice,,,,Oljorook,,,,,,,,,,,,,,No,Yes,Operational,,,,,,,,,,,,,,,,,,,,,,
23212,Ihiga dispensary,Muranga,Muranga,Mathioya,Kamacharia,Dispensary,Ministry of Health,,,,Mathioya,,,,,,,,,,,,,,No,No,Operational,,,,,,,,,,,,,,,,,,,,,,
23554,Ihigaini Dispensary,Muranga,Muranga,Kangema,Muguru,Dispensary,Ministry of Health,,,,Kangema,,,,,,,,,,,,,,No,No,Operational,,,,,,,,,,,,,,,,,,,,,,
10339,Ihuririo Dispensary,Nyeri,Nyeri,Nyeri South,Iria-ini,Dispensary,Ministry of Health,,,,Nyeri South,,,,,,,,,,,,,,No,No,Operational,,,,,,,,,,,,,,,,,,,,,,
10340,Ihururu Health Centre,Nyeri,Nyeri,Tetu,Dedan Kimathi,Basic Health Centre,Ministry of Health,,,,Tetu,,,,,,,,,,,,,,No,No,Operational,,,,,,,,,Y,,Y,,Y,,,,,,,,,
10341,Ihururu Medical Clinic,Nyeri,Nyeri,Tetu,Dedan Kimathi,Medical Clinic,Private Practice,,,,Tetu,,,,,,,,,,,,,,No,No,Operational,,,,,,,,,,,,,,,,,,,,,,
10342,Ihwa Medical Clinic,Nyeri,Nyeri,Tetu,Dedan Kimathi,Medical Clinic,Private Practice,,,,Tetu,,,,,,,,,,,,,,No,No,Operational,,,,,,,,,,,,,,,,,,,,,,
21415,Ihwagi Dispensary,Nyeri,Nyeri,Mathira East,Iriaini,Dispensary,Ministry of Health,,,,Mathira,,,,,,,,,,,,,,No,No,Operational,,,,,,,,,Y,,Y,,Y,,,,,,,,,
12073,Iiani Catholic Dispensary,Kitui,Kitui,Kitui West,Mutongoni,Dispensary,Faith Based Organization,,,,Kitui West,,,,,,,,,,,,,,Yes,Yes,Operational,,,,,,,,,,,Y,,,,,,,,,,,
12072,IIANI DISPENSARY,Makueni,Makueni,Makueni,Mavindini,Dispensary,Ministry of Health,,,,Makueni,,,,,,,,,,,,,,No,No,Operational,,,,,,,,,,,,,,,,,,,,,,
17918,Iiani Dispensary (Kibwezi),Makueni,Makueni,Kibwezi East,Ivingoni/Nzambani,Dispensary,Ministry of Health,,,,Kibwezi East,,,,,,,,,,,,,,No,No,Operational,,,,,,,,,,,,,,,,,,,,,,
12074,Iiani/Kiatineni Dispensary,Makueni,Makueni,Mbooni,Tulimani,Dispensary,Ministry of Health,,,,Mbooni,,,,,,,,,,,,,,No,No,Operational,,,,,,,,,,,,,,,,,,,,,,
20723,Iimbani Dispensary,Machakos,Machakos,Kathiani,Upper Kaewa/Iveti,Dispensary,Ministry of Health,,,,Kathiani,,,,,,,,,,,,,,No,No,Operational,,,,,,,,,,,,,,,,,,,,,,
13370,Ijara Health Centre,Garissa,Garissa,Ijara,Ijara,Basic Health Centre,Ministry of Health,,,,Ijara,,,,,,,,,,,,,,Yes,Yes,Operational,,,,,,,,,,,,,,,,,,,,,,
13406,Ijara Sub County Hospital - Masalani,Garissa,Garissa,Ijara,Masalani,Primary care hospitals,Ministry of Health,,,,Ijara,,,,,,,,,,,,,,Yes,Yes,Operational,,,,,,,,,,,,,,,,,,,,,,
12075,Ikaatini Dispensary,Machakos,Machakos,Masinga,Ekalakala,Dispensary,Ministry of Health,,,,Masinga,,,,,,,,,,,,,,No,No,Operational,,,,,,,,,,,,,,,,,,,,,,
16649,Ikalaasa Dispensary (Machakos),Machakos,Machakos,Mwala,Kibauni,Dispensary,Ministry of Health,,,,Mwala,,,,,,,,,,,,,,No,No,Operational,,,,,,,,,,,,,,,,,,,,,,
23013,Ikalaasa dispensary (Makueni),Makueni,Makueni,Makueni,Mbitini,Dispensary,Ministry of Health,,,,Makueni,,,,,,,,,,,,,,No,No,Operational,,,,,,,,,,,,,,,,,,,,,,
16958,Ikalyoni Dispensary,Makueni,Makueni,Kaiti,Ukia,Dispensary,Ministry of Health,,,,Kaiti,,,,,,,,,,,,,,No,No,Operational,,,,,,,,,,,,,,,,,,,,,,
12077,Ikanga Sub County Hospital,Kitui,Kitui,Kitui South,Ikanga/Kyatune,Primary care hospitals,Ministry of Health,,,,Kitui South,,,,,,,,,,,,,,Yes,Yes,Operational,,,,,,,,,Y,,Y,,Y,,,,,,,,,
13615,Ikerege Clinic,Migori,Migori,Kuria West,Bukira Central/Ikerege,Medical Clinic,Private Practice,,,,Kuria West,,,,,,,,,,,,,,No,No,Operational,,,,,,,,,Y,,,,Y,,,,,,,,,
23511,Ikerege Medical Centre,Migori,Migori,Kuria West,Bukira Central/Ikerege,Medical Clinic,Private Practice,,,,Kuria West,,,,,,,,,,,,,,Yes,Yes,Operational,,,,,,,,,Y,,,,Y,,,,,,,,,
20921,Ikhanyi Dispensary,Kakamega,Kakamega,Malava,South Kabras,Dispensary,Ministry of Health,,,,Malava,,,,,,,,,,,,,,No,No,Operational,,,,,,,,,,,,,,,,,,,,,,
13616,Ikobe Health Centre,Nyamira,Nyamira,Manga,Manga,Basic Health Centre,Ministry of Health,,,,Kitutu Masaba,,,,,,,,,,,,,,No,No,Operational,,,,,,,,,,,,,,,,,,,,,,
12078,Ikombe Dispensary,Machakos,Machakos,Yatta,Ikombe,Dispensary,Ministry of Health,,,,Yatta,,,,,,,,,,,,,,No,No,Operational,,,,,,,,,,,,,,,,,,,,,,
19900,Ikomero Dispensary,Kakamega,Kakamega,Khwisero,Kisa West,Dispensary,Ministry of Health,,,,Khwisero,,,,,,,,,,,,,,No,No,Operational,,,,,,,,,Y,,,,,,,,,,,,,
13617,Ikonge Dispensary,Nyamira,Nyamira,Nyamira North,Ekerenyo,Dispensary,Ministry of Health,,,,North Mugirango,,,,,,,,,,,,,,No,No,Operational,,,,,,,,,Y,,,,Y,,,,,,,,,
23996,Ikonyero Med Care Health Clinic,Kakamega,Kakamega,Lurambi,Sheywe,Medical Clinic,Private Practice,,,,Lurambi,,,,,,,,,,,,,,No,Yes,Operational,,,,,,,,,Y,,Y,,Y,,,,,,,,,
17165,Ikonzo Model Health Centre,Busia,Busia,Butula,Kingandole,Basic Health Centre,Ministry of Health,,,,Butula,,,,,,,,,,,,,,No,No,Operational,,,,,,,,,,,,,,,,,,,,,,
22629,Ikorongo Dispensary,Kisii,Kisii,Nyaribari Masaba,Nyamasibi,Dispensary,Ministry of Health,,,,Nyaribari Masaba,,,,,,,,,,,,,,No,No,Operational,,,,,,,,,,,,,,,,,,,,,,
21672,Ikulu Dispensary,Machakos,Machakos,Machakos,Muvuti/Kiima-kimwe,Dispensary,Ministry of Health,,,,Machakos Town,,,,,,,,,,,,,,No,No,Operational,,,,,,,,,Y,,,,Y,,,,,,,,,
14559,Ikumbi Health Centre,Nakuru,Nakuru,Kuresoi North,Nyota,Basic Health Centre,Ministry of Health,,,,Kuresoi North,,,,,,,,,,,,,,Yes,Yes,Operational,,,,,,,,,,,,,,,,,,,,,,
12079,Ikumbo Dispensary,Tharaka Nithi,Tharaka Nithi,Mwimbi,Ganga,Dispensary,Ministry of Health,,,,Maara,,,,,,,,,,,,,,No,No,Operational,,,,,,,,,,,,,,,,,,,,,,
17610,Ikutha Medical Clinic,Kitui,Kitui,Kitui South,Ikutha,Medical Clinic,Private Practice,,,,Kitui South,,,,,,,,,,,,,,No,Yes,Operational,,,,,,,,,Y,,Y,,Y,,,,,,,,,
12080,Ikutha Sub County Hospital,Kitui,Kitui,Kitui South,Ikutha,Primary care hospitals,Ministry of Health,,,,Kitui South,,,,,,,,,,,,,,Yes,Yes,Operational,,,,,,,,,Y,,Y,,Y,,,,,,,,,
18883,Ikuu CFW Clinic,Tharaka Nithi,Tharaka Nithi,Chuka,Magumoni,Medical Clinic,Non-Governmental Organizations,,,,Chuka/Igambang'ombe,,,,,,,,,,,,,,No,No,Operational,,,,,,,Y,,Y,,,,Y,,,,,,,,,
12081,Ikuu Dispensary,Tharaka Nithi,Tharaka Nithi,Chuka,Magumoni,Dispensary,Ministry of Health,,,,Chuka/Igambang'ombe,,,,,,,,,,,,,,No,No,Operational,,,,,,,Y,,Y,,Y,,Y,,,,,,,,,
12082,Ikuyuni Dispensary,Kitui,Kitui,Kitui East,Nzambani,Dispensary,Ministry of Health,,,,Kitui East,,,,,,,,,,,,,,No,No,Operational,,,,,,,,,,,,,,,,,,,,,,
16717,Ikuywa Dispensary,Kakamega,Kakamega,Shinyalu,Isukha East,Dispensary,Ministry of Health,,,,Shinyalu,,,,,,,,,,,,,,No,No,Operational,,,,,,,,,,,,,,,,,,,,,,
14562,Ilaiser Dispensary,Narok,Narok,Narok East,Ildamat,Dispensary,Ministry of Health,,,,Narok East,,,,,,,,,,,,,,No,No,Operational,,,,,,,Y,,Y,,,,Y,,,,,,,,,
12083,Ilalambyu Dispensary,Kitui,Kitui,Mwingi West,Migwani,Dispensary,Ministry of Health,,,,Mwingi West,,,,,,,,,,,,,,No,No,Operational,,,,,,,,,,,,,,,,,,,,,,
17337,Ilan Dispensary,Garissa,Garissa,Lagdera,Maalamin,Dispensary,Ministry of Health,,,,Lagdera,,,,,,,,,,,,,,No,No,Operational,,,,,,,,,Y,,Y,,Y,,,,,,,,,
19976,Ilatu Health Centre (Makindu),Makueni,Makueni,Kibwezi West,Nguumo,Basic Health Centre,Ministry of Health,,,,Kibwezi West,,,,,,,,,,,,,,No,No,Operational,,,,,,,,,,,,,,,,,,,,,,
19269,Ilbissil Medical Clinic,Kajiado,Kajiado,Kajiado Central,Matapato North,Medical Clinic,Private Practice,,,,Kajiado Central,,,,,,,,,,,,,,No,Yes,Operational,,,,,,,,,,,,,,,,,,,,,,
20161,Ilbrah Counseling  Centre,Uasin Gishu,Uasin Gishu,Kapseret,Kipkenyo,VCT,Private Practice,,,,Kapseret,,,,,,,,,,,,,,No,No,Operational,,,,,,,,,Y,,,,Y,,,,,,,,,
17053,Ilchalai Dispensary,Kajiado,Kajiado,Loitokitok,Imbrikani/Eselelnkei,Dispensary,Ministry of Health,,,,Kajiado South,,,,,,,,,,,,,,Yes,Yes,Operational,,,,,,,,,,,,,,,,,,,,,,
15900,Ileho Health Centre,Kakamega,Kakamega,Shinyalu,Isukha East,Basic Health Centre,Ministry of Health,,,,Shinyalu,,,,,,,,,,,,,,Yes,Yes,Operational,,,,,,,,,,,,,,,,,,,,,,
12084,Ilengi Dispensary,Kitui,Kitui,Kitui South,Athi,Dispensary,Ministry of Health,,,,Kitui South,,,,,,,,,,,,,,No,No,Operational,,,,,,,,,,,,,,,,,,,,,,
12085,Ilika Dispensary,Kitui,Kitui,Kitui Rural,Kwavonza/Yatta,Dispensary,Ministry of Health,,,,Kitui Rural,,,,,,,,,,,,,,No,No,Operational,,,,,,,Y,,Y,,Y,,Y,,,,,,,,,
14563,Ilkerin Dispensary (Narok South),Narok,Narok,Narok South,Loita,Dispensary,Ministry of Health,,,,Narok South,,,,,,,,,,,,,,No,No,Operational,,,,,,,,,,,,,,,,,,,,,,
14564,Ilkerin Dispensary (Trans Mara),Narok,Narok,Transmara East,Iikerin,Dispensary,Ministry of Health,,,,Emurua Dikirr,,,,,,,,,,,,,,No,No,Operational,,,,,,,,,,,,,,,,,,,,,,
14565,Ilkilinyet Dispensary,Kajiado,Kajiado,Kajiado East,Kenyawa-poka,Dispensary,Ministry of Health,,,,Kajiado East,,,,,,,,,,,,,,No,No,Operational,,,,,,,,,Y,,,,Y,,,,,,,,,
19676,Ilkilorit Dispensary,Kajiado,Kajiado,Kajiado West,Ewuaso Oo Nkidong'i,Dispensary,Ministry of Health,,,,Kajiado West,,,,,,,,,,,,,,No,No,Operational,,,,,,,,,,,,,,,,,,,,,,
17750,Ilkiremisho Dispensary,Narok,Narok,Narok East,Mosiro,Dispensary,Ministry of Health,,,,Narok East,,,,,,,,,,,,,,No,No,Operational,,,,,,,,,,,,,,,,,,,,,,
20372,Illasit Health Centre,Kajiado,Kajiado,Loitokitok,Rombo,Basic Health Centre,Ministry of Health,,,,Kajiado South,,,,,,,,,,,,,,No,No,Operational,,,,,,,,,Y,,,,,,,,,,,,,
14567,Illasit Medical Clinic,Kajiado,Kajiado,Loitokitok,Rombo,Medical Clinic,Private Practice,,,,Kajiado South,,,,,,,,,,,,,,No,Yes,Operational,,,,,,,,,,,,,,,,,,,,,,
12086,Illaut Dispensary,Marsabit,Marsabit,Laisamis,Korr/Ngurunit,Dispensary,Faith Based Organization,,,,Laisamis,,,,,,,,,,,,,,No,No,Operational,,,,,,,,,,,,,,,,,,,,,,
12087,Illeret Health Centre,Marsabit,Marsabit,North Horr,Illeret,Basic Health Centre,Ministry of Health,,,,North Horr,,,,,,,,,,,,,,No,No,Operational,,,,,,,,,,,,,,,,,,,,,,
18251,Illikeek Oodupa Clinic,Narok,Narok,Transmara West,Shankoe,Medical Clinic,Private Practice,,,,Kilgoris,,,,,,,,,,,,,,Yes,Yes,Operational,,,,,,,,,Y,,,,Y,,,,,,,,,
14568,Illinga'rua Dispensary,Baringo,Baringo,Marigat,Iichamus,Dispensary,Ministry of Health,,,,Baringo South,,,,,,,,,,,,,,No,No,Operational,,Y,,,,,,,Y,,Y,,Y,,,,,,,,,
20546,Ilmotiok Dispensary (Laikipia),Laikipia,Laikipia,Laikipia North,Mugogodo West,Dispensary,Ministry of Health,,,,Laikipia North,,,,,,,,,,,,,,No,No,Operational,,,,,,,,,Y,,,,,,,,,,,,,
21322,Ilmotiok Dispensary (Narok),Narok,Narok,Narok West,Ilmotiook,Dispensary,Ministry of Health,,,,Narok West,,,,,,,,,,,,,,No,No,Operational,,,,,,,,,,,,,,,,,,,,,,
21321,Iloirero Dispensary,Kajiado,Kajiado,Loitokitok,Imbrikani/Eselelnkei,Dispensary,Ministry of Health,,,,Kajiado South,,,,,,,,,,,,,,No,No,Operational,,,,,,,,,,,,,,,,,,,,,,
19724,Ilparakuo Dispensary,Kajiado,Kajiado,Kajiado West,Magadi,Dispensary,Ministry of Health,,,,Kajiado West,,,,,,,,,,,,,,No,No,Operational,,,,,,,,,Y,,,,Y,,,,,,,,,
14561,Ilpolei Dispensary,Laikipia,Laikipia,Laikipia North,Mugogodo West,Dispensary,Ministry of Health,,,,Laikipia North,,,,,,,,,,,,,,Yes,Yes,Operational,,,,,,,,,Y,,Y,,Y,,,,,,,,,
15041,Ilpolosat Dispensary,Kajiado,Kajiado,Kajiado East,Kaputiei North,Dispensary,Ministry of Health,,,,Kajiado East,,,,,,,,,,,,,,No,No,Operational,,,,,,,,,,,,,,,,,,,,,,
14569,Iltilal Health Centre,Kajiado,Kajiado,Loitokitok,Kuku,Basic Health Centre,Ministry of Health,,,,Kajiado South,,,,,,,,,,,,,,Yes,Yes,Operational,,,,,,,,,,,,,,,,,,,,,,
18586,Iluvya Dispenasary,Machakos,Machakos,Machakos,Muvuti/Kiima-kimwe,Dispensary,Ministry of Health,,,,Machakos Town,,,,,,,,,,,,,,No,No,Operational,,,,,,,,,,,,,,,,,,,,,,
16484,Imalaba Dispensary,Kakamega,Kakamega,Ikolomani,Idakho South,Dispensary,Ministry of Health,,,,Ikolomani,,,,,,,,,,,,,,No,No,Operational,,,,,,,,,,,,,,,,,,,,,,
18941,Imanga Health Centre,Kakamega,Kakamega,Butere,Marama Central,Basic Health Centre,Ministry of Health,,,,Butere,,,,,,,,,,,,,,No,Yes,Operational,,Y,,,,,Y,,Y,,Y,,Y,,,,,,,,,
22171,Imani 44 Medical Clinic,Nairobi,Nairobi,Roysambu,Githurai,Medical Clinic,Private Practice,,,,Roysambu,,,,,,,,,,,,,,No,Yes,Operational,,,,,,,,,,,,,,,,,,,,,,
16357,Imani Dispensary,Uasin Gishu,Uasin Gishu,Kapseret,Kipkenyo,Dispensary,Private Practice,,,,Kapseret,,,,,,,,,,,,,,No,No,Operational,,,,,,,,,,,,,,,,,,,,,,
12088,Imani Health Care,Machakos,Machakos,Machakos,Mutituni,Medical Clinic,Private Practice,,,,Machakos Town,,,,,,,,,,,,,,No,Yes,Operational,,,,,,,,,,,,,,,,,,,,,,
19469,Imani Health Servises,Nairobi,Nairobi,Dagoretti South,Waithaka,Medical Clinic,Private Practice,,,,Dagoretti South,,,,,,,,,,,,,,Yes,Yes,Operational,,Y,,,,,Y,,Y,,Y,,Y,,,,,,,,,
24169,Imani Makongeni Medical Clinic,Kiambu,Kiambu,Thika Town,Kamenu,Medical Clinic,Private Practice,,,,Thika Town,,,,,,,,,,,,,,No,No,Operational,,,,,,,,,,,,,,,,,,,,,,
21226,Imani Medical and Laboratory Centre,Kiambu,Kiambu,Kikuyu,Kinoo,Medical Clinic,Private Practice,,,,Kikuyu,,,,,,,,,,,,,,No,No,Operational,,Y,,,,,Y,,Y,,Y,,Y,,,,,,,,,
21640,Imani Medical Centre (Kiamunyi),Nakuru,Nakuru,Rongai,Menengai West,Medical Clinic,Private Practice,,,,Rongai,,,,,,,,,,,,,,No,No,Operational,,,,,,,,,,,,,,,,,,,,,,
17669,Imani Medical Centre (Machakos),Machakos,Machakos,Athi River,Athi River,Medical Clinic,Private Practice,,,,Mavoko,,,,,,,,,,,,,,No,Yes,Operational,,,,,,,,,,,,,,,,,,,,,,
19402,Imani Medical Centre (Nairobi),Nairobi,Nairobi,Roysambu,Githurai,Medical Center,Private Practice,,,,Roysambu,,,,,,,,,,,,,,No,Yes,Operational,,,,,,,,,,,,,,,,,,,,,,
22538,Imani Medical Centre(Kitui Central),Kitui,Kitui,Kitui Central,Mulango,Medical Clinic,Private Practice,,,,Kitui Central,,,,,,,,,,,,,,No,No,Operational,,,,,,,,,,,,,,,,,,,,,,
24355,Imani Medical clinic,Muranga,Muranga,Kiharu,Mbiri,Medical Clinic,Private Practice,,,,Kiharu,,,,,,,,,,,,,,No,Yes,Operational,,,,,,,,,,,,,,,,,,,,,,
23519,Imani Medical Clinic & Laboratory Services,Trans Nzoia,Trans Nzoia,Saboti,Matisi,Medical Clinic,Private Practice,,,,Saboti,,,,,,,,,,,,,,No,Yes,Operational,,,,,,,,,,,,,,,,,,,,,,
10345,Imani Medical Clinic (Kiambu West),Kiambu,Kiambu,Limuru,Limuru Central,Medical Clinic,Private Practice,,,,Limuru,,,,,,,,,,,,,,No,Yes,Operational,,,,,,,,,,,,,,,,,,,,,,
24545,Imani Medical Clinic (Limuru),Kiambu,Kiambu,Limuru,Limuru Central,Medical Clinic,Private Practice,,,,Limuru,,,,,,,,,,,,,,No,No,Operational,,,,,,,,,,,,,,,,,,,,,,
10347,Imani Medical Clinic (Muranga North),Muranga,Muranga,Kiharu,Township,Medical Clinic,Private Practice,,,,Kiharu,,,,,,,,,,,,,,No,No,Operational,,,,,,,,,,,,,,,,,,,,,,
19808,Imani Medical Clinic (Nyandarua),Nyandarua,Nyandarua,Kinangop,Magumu,Medical Clinic,Private Practice,,,,Kinangop,,,,,,,,,,,,,,No,Yes,Operational,,,,,,,,,,,,,,,,,,,,,,
